Random rank,Wicks No.,Title,Author,Status,Source
1,1229,"le Grenadier de Louis XV, ou le Lendemain de Fontenoy","J.-B, Dubois",Uploaded to GitHub,
2,1563,Jocrisse maître et Jocrisse valet,Sewrin,OCRed and cleaned,http://www.google.com/books?id=QBQ6AAAAcAAJ
3,1291,"les Héritiers Michau, ou le Moulin de Lieursain",Planard,OCRed and cleaned,http://www.google.com/books?id=I006AAAAcAAJ
4,125,un An de Périclès,J. Aude,OCRed and cleaned,
5,1178,"Gallet, ou le Chansonnier droguiste",Moreau & d'Allarde,OCRed and cleaned,http://www.google.com/books?id=9jg6AAAAcAAJ
6,2050,"Nephtali, ou les Ammonites",E.Aignan,OCRed and cleaned,http://www.google.com/books?id=tcpDAAAAcAAJ
7,2025,"la Mort du Capitaine Cook, ou les Insulaires d'O-why-e",Franconi,OCRed and cleaned,http://www.google.com/books?id=mP1DAAAAcAAJ
8,2701,le Singulier mariage,B.Dupont de Lille,OCRed and cleaned,http://www.google.com/books?id=AndsAtBQxpkC
9,1903,la Méprise,Mme de Bawr,Not found,
10,942,Esope chez Xantus,Tarenne de Laval,OCRed and cleaned,
11,926,l'Epreuve excusable,Leroi de Neufvillette,Not found,
12,2761,les Strélitz,Duperche & von Bilderbeck,OCRed and cleaned,http://books.google.com/books?id=GGnpR5FuFwYC
13,23,les Acteurs à l'épreuve,Sewrin & Chazet,OCRed and cleaned,http://books.google.com/books?id=1U46AAAAcAAJ
14,534,la Chaumière au pied des Alpes,Maillard & Brazier (& Hapdé?),OCRed and cleaned,
15,1127,Fontenelle,P.A.S. Petit aîné & Servières,OCRed and cleaned,http://books.google.com/books?id=WH5LAAAAcAAJ
16,1544,la Jeunesse de Favart,A.-P.-C. Favart & Gentil de Chavagnac,OCRed and cleaned,http://www.google.com/books?id=unQ_AAAAIAAJ
17,2576,le Rival obligeant,Mme de Bawr,OCRed and cleaned,http://www.google.com/books?id=r-lKAAAAcAAJ
18,609a,le Compère futaille,,Not found,
19,1935,"les Moeurs du jour, ou l'Ecole des jeunes femmes",Collin d'Harleville,OCRed,http://www.google.com/books?id=nUyifeus3uYC
20,371,"la Bonne maîtresse, ou la Lettre trouvée",Mme de Montanclos,OCRed,http://www.google.com/books?id=kt9RciTYUsMC
21,2861,les Trois Damis,,Not found,
22,259,"Avis aux jaloux, ou la Rencontre imprévue",Chazet & Ourry,,https://dezede.org/oeuvres/avis-aux-jaloux-ou-la-rencontre-imprevue/
23,2289,"les Petits braconniers, ou les Ecoliers en vacances","Merle, Brazier & Charles Rondeau",OCRed and cleaned,http://books.google.com/books?id=8DBaAAAAcAAJ
24,675,la Dame invisible,"Chateauvieux, Armand Croizette & Fleureau de Ligny",Not found,
25,279,le Baron de Felsheim,Beaunoir?,OCRed,http://www.google.com/books?id=ZupHAAAAMAAJ
26,2065,Nitouche et Guignolet,,OCRed,http://www.google.com/books?id=xVWu4jMP5KoC
27,2838,"les Tracasseries, ou M. et Mme Tatillon",Picard,OCRed,http://www.google.com/books?id=Rlc0AAAAMAAJ
28,12,l'Absinthe,Ch. Henrion,OCRed,http://gallica.bnf.fr/ark:/12148/bpt6k56253685
29,5,"l'Abbaye de Grasville, ou le fantôme imaginaire",Boirie et Clément,Not found,
30,2341,Plus de peur que de mal,,Not found,
31,2169,"Papirius, ou les Femmes comme elles étaient",Gersin & Vieillard,Panix,http://books.google.com/books?id=JyxaAAAAcAAJ
